id_partit;jornada;local;visitant;resultat_local;resultat_visitant;diferencia;victoria
103773;1;4;12;85;89;4;1
103774;1;15;5;101;104;3;1
103776;1;2;10;98;75;23;0
103775;1;13;18;84;64;20;0
103789;1;3;9;95;79;16;0
103781;1;17;8;79;88;9;1
103778;1;6;7;97;92;5;0
103777;1;1;11;101;70;31;0
103779;1;14;16;95;73;22;0
103783;2;5;8;88;76;12;0
103782;2;11;2;100;92;8;0
103784;2;10;4;86;94;8;1
103786;2;12;6;88;64;24;0
103785;2;9;15;86;80;6;0
103787;2;18;3;83;84;1;1
103771;2;7;1;88;94;6;1
103788;2;16;17;63;69;6;1
103770;3;8;14;92;72;20;0
103769;3;5;10;80;68;12;0
103754;3;2;4;76;82;6;1
103759;3;1;3;86;79;7;0
103756;3;15;12;91;102;11;1
103758;3;17;7;85;89;4;1
103755;3;9;6;89;75;14;0
103757;3;16;18;87;74;13;0
103772;2;13;14;77;78;1;1
103767;4;7;11;81;75;6;0
103768;4;18;9;69;75;6;1
103766;4;10;17;88;81;7;0
103765;4;3;16;91;87;4;0
103762;4;15;8;81;90;9;1
103761;4;12;1;74;93;19;1
103764;4;6;2;76;69;7;0
103763;4;4;13;85;79;6;0
103562;4;14;5;77;68;9;0
103760;3;13;11;80;72;8;0
103751;5;12;10;66;79;13;1
103753;5;14;15;94;93;1;0
103732;5;2;9;113;91;22;0
103752;5;16;13;92;89;3;0
103726;5;6;3;73;83;10;1
103728;5;11;8;80;85;5;1
103729;5;7;18;92;91;1;0
103730;5;1;5;106;92;14;0
103727;5;17;4;59;61;2;1
103723;6;13;12;85;79;6;0
103722;6;5;6;95;69;26;0
103724;6;9;16;84;94;10;1
103725;6;18;17;74;59;15;0
103721;6;3;14;91;82;9;0
103717;6;8;2;84;93;9;1
103719;6;4;7;84;79;5;0
103718;6;15;11;78;70;8;0
103720;6;10;1;76;82;6;1
103731;7;12;5;82;76;6;0
103750;7;11;9;113;83;30;0
103733;7;6;13;87;80;7;0
103716;7;2;17;87;70;17;0
103746;7;4;3;71;68;3;0
103747;7;16;8;85;68;17;0
103749;7;7;15;90;84;6;0
103748;7;14;10;93;94;1;1
103734;7;1;18;91;68;23;0
103743;8;18;12;76;80;4;1
103744;8;11;14;77;63;14;0
103742;8;10;16;71;53;18;0
103745;8;2;13;87;74;13;0
103739;8;17;3;63;79;16;1
103738;8;8;6;76;88;12;1
103740;8;5;7;87;74;13;0
103741;8;15;1;76;83;7;1
103737;8;9;4;80;76;4;0
103791;9;12;2;78;82;4;1
103735;9;16;7;86;90;4;1
103736;9;17;9;85;77;8;0
103780;9;18;5;66;76;10;1
103843;9;3;10;94;83;11;0
103857;9;13;8;108;95;13;0
103844;9;4;11;76;69;7;0
103792;9;6;15;89;75;14;0
103845;9;14;1;84;87;3;1
103840;10;12;17;87;83;4;0
103842;10;11;6;94;101;7;1
103839;10;10;18;92;71;21;0
103834;10;5;3;82;73;9;0
103835;10;8;4;83;74;9;0
103838;10;7;13;76;56;20;0
103837;10;15;16;91;88;3;0
103841;10;9;14;81;78;3;0
103836;10;1;2;93;99;6;1
103833;11;13;15;77;94;17;1
103846;11;5;9;105;73;32;0
103831;11;14;2;43;67;24;1
103832;11;18;4;77;101;24;1
103849;11;3;12;115;78;37;0
