id_partit;nom;punts;rebots;assistencies;recuperacions;perdues;taps;taps_rebuts;faltes;faltes_rebudes;plus_minus;valoracio;equip;decmin;decT2;decT3;decTL;numT2;numT3;numTL;madeT2;madeT3;madeTL;titular;fase;data;rival;condicio;punts_equip;punts_diferencia;resultat;convocat
103562;A. Smith;8;1;1;1;1;1;1;3;0;-3;0;Surne Bilbao Basket;24,46666667;0,4;0;0;10;1;0;4;0;0;Titular;Lliga regular;8/10/23;UCAM Murcia;Local;77;9;Guanyat;True
103562;D. Andersson;2;1;0;1;0;0;0;2;1;-13;1;Surne Bilbao Basket;16,51666667;1;0;0;1;2;0;1;0;0;Titular;Lliga regular;8/10/23;UCAM Murcia;Local;77;9;Guanyat;True
103562;S. Killeya-Jones;18;7;1;0;1;1;2;1;6;13;21;Surne Bilbao Basket;20,05;0,6;0;0,666666667;10;1;9;6;0;6;No titular;Lliga regular;8/10/23;UCAM Murcia;Local;77;9;Guanyat;True
103562;T. Rigo;0;0;0;0;1;0;0;0;0;-2;-1;Surne Bilbao Basket;0,433333333;0;0;0;0;0;0;0;0;0;No titular;Lliga regular;8/10/23;UCAM Murcia;Local;77;9;Guanyat;True
103562;A. Reyes;12;3;0;0;1;0;0;3;0;15;9;Surne Bilbao Basket;23,15;0;0,8;0;1;5;0;0;4;0;No titular;Lliga regular;8/10/23;UCAM Murcia;Local;77;9;Guanyat;True
103562;T. DeRidder;2;2;1;0;1;0;0;1;1;2;4;Surne Bilbao Basket;10,75;0;0;1;0;0;2;0;0;2;No titular;Lliga regular;8/10/23;UCAM Murcia;Local;77;9;Guanyat;True
103562;A. Renfroe;10;8;4;2;2;0;1;3;4;0;16;Surne Bilbao Basket;25,33333333;0,5;0;1;8;2;2;4;0;2;Titular;Lliga regular;8/10/23;UCAM Murcia;Local;77;9;Guanyat;True
103562;M. Pantzar;12;4;3;0;0;0;0;1;4;9;18;Surne Bilbao Basket;14,66666667;0,5;1;0,75;6;1;4;3;1;3;No titular;Lliga regular;8/10/23;UCAM Murcia;Local;77;9;Guanyat;True
103562;X. Rabaseda;2;4;1;0;1;0;1;2;1;-6;-1;Surne Bilbao Basket;16,85;0,333333333;0;0;3;1;2;1;0;0;Titular;Lliga regular;8/10/23;UCAM Murcia;Local;77;9;Guanyat;True
103562;T. Hlinason;9;9;0;0;3;0;0;1;2;-4;11;Surne Bilbao Basket;19,95;0,444444444;0;1;9;0;1;4;0;1;Titular;Lliga regular;8/10/23;UCAM Murcia;Local;77;9;Guanyat;True
